ID de actividad,Fecha de la actividad,Nombre de la actividad,Tipo de actividad,Descripción de la actividad,Tiempo transcurrido,Distancia,Ritmo cardiaco máximo,Esfuerzo Relativo,Desplazamiento,Nota privada de actividad,Equipamiento de la actividad,Nombre del archivo,Peso del deportista,Peso de la bicicleta,Tiempo transcurrido,Tiempo en movimiento,Distancia,Velocidad máxima,Velocidad promedio,Desnivel positivo,Desnivel negativo,Desnivel bajo,Desnivel alto,Pendiente máxima,Pendiente promedio,Pendiente positiva promedio,Pendiente negativa promedio,Cadencia máx.,Cadencia promedio,Ritmo cardiaco máximo,Ritmo cardiaco promedio,Vatios máx.,Vatios promedio,Calorías,Temperatura máx.,Temperatura promedio,Esfuerzo Relativo,Trabajo total,Número de carreras,Tiempo en ascenso,Tiempo en descenso,Otro tiempo,Esfuerzo Percibido,Tipo,Hora de inicio,Potencia promedio ponderada,Recuento de potencia,Usar Esfuerzo Percibido,Esfuerzo Relativo percibido,Desplazamiento,Peso total levantado,Desde la carga,Distancia ajustada en pendientes,Hora de observación meteorológica,Condición meteorológica,Temperatura meteorológica,Temperatura aparente,Punto de rocío,Humedad,Presión meteorológica,Velocidad del viento,Ráfaga de viento,Dirección del viento,Intensidad de precipitación,Hora del amanecer,Hora del atardecer,Fase lunar,Bicicleta,Equipamiento,Probabilidad de precipitación,Tipo de precipitación,Nubosidad,Visibilidad meteorológica,Índice UV,Ozono meteorológico,Recuento de saltos,Grit total,Flow promedio,Denunciado,Velocidad promedio durante el tiempo transcurrido,Distancia en tierra,Distancia recientemente explorada,Distancia en rampas de tierra recientemente explorada,Recuento de actividades,Total de pasos,Ahorro en carbono,Largo de la piscina,Carga de entrenamiento,Intensidad,Ritmo ajustado en pendientes promedio,Tiempo cronometrado,Ciclos en total,Recuperación,Con mascota,Competición,Carrera de larga distancia,Por una causa,Multimedia
425571429,"3 nov 2015, 9:15:59",Carrera matutina,Carrera,,1434,"5,19",,,false,,,activities/425571429.gpx,68.0,,1434.0,1434.0,5193.8,5.7,,23.6,,3.9,23.0,7.4,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
426241206,"4 nov 2015, 10:36:06",Carrera a la hora del almuerzo,Carrera,,2838,"10,09",,,false,,,activities/426241206.gpx,68.0,,2838.0,2827.0,10093.0,4.8,,90.9,,3.8,93.4,8.7,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
427452797,"6 nov 2015, 11:11:37",Carrera a la hora del almuerzo,Carrera,,5446,"10,70",,,false,,,activities/427452797.gpx,68.0,,5446.0,4945.0,10701.0,4.8,,124.8,,7.0,93.6,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
428283177,"7 nov 2015, 18:06:06",Carrera vespertina,Carrera,"",2749,"10,10",,,false,,,activities/428283177.gpx,68.0,,2749.0,2749.0,10105.2,5.7,,99.3,,5.0,93.5,9.0,-0.1,,,,,,,,,849.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
429618366,"9 nov 2015, 17:22:10",Carrera vespertina,Carrera,,2814,"10,09",,,false,,,activities/429618366.gpx,68.0,,2814.0,2803.0,10094.8,5.4,,88.4,,3.8,93.6,8.4,-0.2,,,,,,,,,847.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
430175183,"10 nov 2015, 15:38:29",Carrera a la tarde,Carrera,,5204,"9,07",,,false,,,activities/430175183.gpx,68.0,,5204.0,4428.0,9078.0,4.6,,104.8,,5.0,94.0,9.4,0.0,,,,,,,,,768.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
431472920,"12 nov 2015, 18:18:54",Carrera vespertina,Carrera,,2228,"8,10",,,false,,,activities/431472920.gpx,68.0,,2228.0,2220.0,8099.0,5.2,,99.3,,5.0,93.7,8.6,-0.1,,,,,,,,,683.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
432369450,"14 nov 2015, 10:49:28",Carrera a la hora del almuerzo,Carrera,,2153,"8,15",,,false,,,activities/432369450.gpx,68.0,,2153.0,2153.0,8156.1,5.6,,88.0,,5.0,93.3,8.5,-0.2,,,,,,,,,686.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
434467965,"17 nov 2015, 17:11:17",Carrera vespertina,Carrera,,1702,"6,59",,,false,,,activities/434467965.gpx,68.0,,1702.0,1702.0,6592.2,5.5,,19.0,,3.8,25.3,18.2,-0.2,,,,,,,,,552.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
435644656,"19 nov 2015, 17:47:37",Carrera vespertina,Carrera,,4436,"8,62",,,false,,,activities/435644656.gpx,68.0,,4436.0,4268.0,8624.9,7.3,,105.1,,5.0,93.8,8.4,0.0,,,,,,,,,729.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
