Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
5277472781,"May 11, 2021, 8:06:07 AM",Morning Run,Run,,5491,10.57,,,false,,,activities/5622375873.fit.gz,,,5491.0,5282.0,10574.0,11.3,2.002,880.0,884.0,20.0,637.0,49.0,0.0,,,117.0,80.0,,,,,666.0,,24.0,,,,,,,,,,,,,,0.0,,1.0,17350.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5284905516,"May 12, 2021, 2:31:50 PM",Afternoon Run,Run,,5659,18.28,,,false,,,activities/5630148207.fit.gz,,,5659.0,5619.0,18279.0,6.4,3.253,319.0,327.0,12.0,150.0,45.9,0.0,,,103.0,87.0,,,,,1263.0,,29.0,,,,,,,,,,,,,,0.0,,1.0,20308.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5288578861,"May 13, 2021, 7:42:20 AM",Morning Ride,Ride,,6313,47.73,,,false,,,activities/5634001062.fit.gz,,,6313.0,6276.0,47733.0,12.6,7.606,127.0,118.0,15.0,43.0,12.8,0.0,,,,,,,,,,,24.0,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5291099202,"May 13, 2021, 4:02:13 PM",Evening Run,Run,,3586,6.38,,,false,,,activities/5636637028.fit.gz,,,3586.0,3071.0,6379.0,8.1,2.077,392.0,384.0,21.0,184.0,48.5,0.1,,,130.0,79.0,,,,,407.0,,26.0,,,,,,,,,,,,,,0.0,,1.0,9120.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5291549424,"May 13, 2021, 5:42:10 PM",Evening Run,Run,,2462,6.06,,,false,,,activities/5637105166.fit.gz,,,2462.0,2441.0,6059.0,4.6,2.482,257.0,261.0,20.0,174.0,45.5,-0.1,,,111.0,82.0,,,,,401.0,,25.0,,,,,,,,,,,,,,0.0,,1.0,7678.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5294157020,"May 14, 2021, 7:47:14 AM",Morning Run,Run,,4520,15.12,,,false,,,activities/5639835972.fit.gz,,,4520.0,4493.0,15128.0,5.0,3.367,63.0,60.0,-42.0,26.0,20.0,0.0,,,99.0,88.0,,,,,1050.0,,27.0,,,,,,,,,,,,,,0.0,,1.0,15569.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5306392788,"May 16, 2021, 9:35:59 AM",Lunch Run,Run,,7816,18.02,,,false,,,activities/5652640371.fit.gz,,,7816.0,7560.0,18025.0,9.8,2.384,760.0,755.0,24.0,304.0,49.5,0.0,,,110.0,79.0,,,,,1220.0,,32.0,,,,,,,,,,,,,,0.0,,1.0,22902.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5313463166,"May 17, 2021, 3:15:39 PM",Afternoon Run,Run,,8545,14.02,,,false,,,activities/5660013040.fit.gz,,,8545.0,7109.0,14027.0,8.0,1.973,926.0,933.0,20.0,640.0,49.0,0.0,,,120.0,76.0,,,,,894.0,,24.0,,,,,,,,,,,,,,0.0,,1.0,20810.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5316335085,"May 18, 2021, 8:14:52 AM",Morning Ride,Ride,,4708,36.34,,,false,,,activities/5662989977.fit.gz,,,4708.0,4708.0,36341.0,11.4,7.719,84.0,84.0,16.0,40.0,23.8,0.0,,,,,,,,,,,26.0,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5318538081,"May 18, 2021, 4:40:43 PM",8 Cims-Vertical la Bola,Run,"",1288,2.27,,,false,,,activities/5665267218.fit.gz,,,1288.0,1080.0,2269.0,4.6,2.101,250.0,44.0,11.0,218.0,45.5,9.1,,,97.0,51.0,,,,,144.0,,28.0,,,,,,,,,,,,0.0,,0.0,,1.0,3884.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
